delta,errors_joint,errors_amatch,error_rate_joint,error_rate_amatch,auroc_joint,auroc_amatch,joint_weight_index,joint_lambda_index,amatch_weight_index,amatch_lambda_index,r
0.0,1208,1208,0.294921875,0.294921875,0.7159619228439086,0.7231065177672725,2,3,5,2,219
0.0,1208,1208,0.294921875,0.294921875,0.7165074155523858,0.7231065177672725,2,3,5,2,220
-3.0,1211,1208,0.295654296875,0.294921875,0.7162044965581723,0.7231065177672725,2,3,5,2,221
0.0,1208,1208,0.294921875,0.294921875,0.7166715165508261,0.7231065177672725,2,3,5,2,222
0.0,1208,1208,0.294921875,0.294921875,0.7160847600738455,0.7231065177672725,2,3,5,2,223
-2.0,1210,1208,0.29541015625,0.294921875,0.74696580116111,0.7231065177672725,4,2,5,2,224
-1.0,1209,1208,0.295166015625,0.294921875,0.7165498719153544,0.7231065177672725,2,3,5,2,225
0.0,1208,1208,0.294921875,0.294921875,0.7163132611734175,0.7231065177672725,2,3,5,2,226
0.0,1208,1208,0.294921875,0.294921875,0.7163185085890654,0.7231065177672725,2,3,5,2,227
0.0,1208,1208,0.294921875,0.294921875,0.7332564507434634,0.7231065177672725,6,2,5,2,228
-2.0,1210,1208,0.29541015625,0.294921875,0.7518339717689038,0.7231065177672725,2,2,5,2,229
5.0,1203,1208,0.293701171875,0.294921875,0.7519405897141113,0.7231065177672725,2,2,5,2,230
0.0,1208,1208,0.294921875,0.294921875,0.7164530332447633,0.7231065177672725,2,3,5,2,231
0.0,1208,1208,0.294921875,0.294921875,0.746822689825261,0.7231065177672725,4,2,5,2,232
-16.0,1224,1208,0.298828125,0.294921875,0.7506606973338357,0.7231065177672725,2,2,5,2,233
-7.0,1215,1208,0.296630859375,0.294921875,0.7527460680160475,0.7231065177672725,2,2,5,2,234
0.0,1208,1208,0.294921875,0.294921875,0.745031889976005,0.7231065177672725,4,2,5,2,235
0.0,1208,1208,0.294921875,0.294921875,0.7165975756939708,0.7231065177672725,2,3,5,2,236
0.0,1208,1208,0.294921875,0.294921875,0.7168158204811403,0.7231065177672725,2,3,5,2,237
0.0,1208,1208,0.294921875,0.294921875,0.7164914347865494,0.7231065177672725,2,3,5,2,238
0.0,1208,1208,0.294921875,0.294921875,0.7334964007499034,0.7231065177672725,6,2,5,2,239
0.0,1208,1208,0.294921875,0.294921875,0.716220954361795,0.7231065177672725,2,3,5,2,240
-13.0,1221,1208,0.298095703125,0.294921875,0.7160117732925625,0.7231065177672725,2,3,5,2,241
0.0,1208,1208,0.294921875,0.294921875,0.7157959136943237,0.7231065177672725,2,3,5,2,242
0.0,1208,1208,0.294921875,0.294921875,0.7153501218831544,0.7231065177672725,2,3,5,2,243
0.0,1208,1208,0.294921875,0.294921875,0.7458516794115262,0.7231065177672725,4,2,5,2,244
0.0,1208,1208,0.294921875,0.294921875,0.7165517800664991,0.7231065177672725,2,3,5,2,245
0.0,1208,1208,0.294921875,0.294921875,0.7165811178903481,0.7231065177672725,2,3,5,2,246
0.0,1208,1208,0.294921875,0.294921875,0.7164601888115557,0.7231065177672725,2,3,5,2,247
0.0,1208,1208,0.294921875,0.294921875,0.7164976362777695,0.7231065177672725,2,3,5,2,248
0.0,1208,1208,0.294921875,0.294921875,0.7164954896077318,0.7231065177672725,2,3,5,2,249
-1.0,1209,1208,0.295166015625,0.294921875,0.7157832721929904,0.7231065177672725,2,3,5,2,250
0.0,1208,1208,0.294921875,0.294921875,0.7164038983527885,0.7231065177672725,2,3,5,2,251
0.0,1208,1208,0.294921875,0.294921875,0.716498590353342,0.7231065177672725,2,3,5,2,252
0.0,1208,1208,0.294921875,0.294921875,0.7326296230924452,0.7231065177672725,6,2,5,2,253
0.0,1208,1208,0.294921875,0.294921875,0.7168074723198824,0.7231065177672725,2,3,5,2,254
0.0,1208,1208,0.294921875,0.294921875,0.7165284052149771,0.7231065177672725,2,3,5,2,255
-75.0,1283,1208,0.313232421875,0.294921875,0.7518814370286271,0.7231065177672725,4,0,5,2,256
0.0,1208,1208,0.294921875,0.294921875,0.7159726561940971,0.7231065177672725,2,3,5,2,257
0.0,1208,1208,0.294921875,0.294921875,0.7162118906438579,0.7231065177672725,2,3,5,2,258
0.0,1208,1208,0.294921875,0.294921875,0.751908151144652,0.7231065177672725,2,2,5,2,259
-5.0,1213,1208,0.296142578125,0.294921875,0.7450979597093885,0.7231065177672725,4,2,5,2,260
0.0,1208,1208,0.294921875,0.294921875,0.7163366360249396,0.7231065177672725,2,3,5,2,261
0.0,1208,1208,0.294921875,0.294921875,0.7517655168465893,0.7231065177672725,2,2,5,2,262
0.0,1208,1208,0.294921875,0.294921875,0.716115767529946,0.7231065177672725,2,3,5,2,263
0.0,1208,1208,0.294921875,0.294921875,0.7159273376044116,0.7231065177672725,2,3,5,2,264
-6.0,1214,1208,0.29638671875,0.294921875,0.7159039627528897,0.7231065177672725,2,3,5,2,265
0.0,1208,1208,0.294921875,0.294921875,0.7165536882176436,0.7231065177672725,2,3,5,2,266
0.0,1208,1208,0.294921875,0.294921875,0.716551303028713,0.7231065177672725,2,3,5,2,267
0.0,1208,1208,0.294921875,0.294921875,0.7519434519408282,0.7231065177672725,2,2,5,2,268
-115.0,1323,1208,0.322998046875,0.294921875,0.6991396623526549,0.7231065177672725,5,3,5,2,269
-21.0,1229,1208,0.300048828125,0.294921875,0.7476684778201281,0.7231065177672725,2,2,5,2,270
0.0,1208,1208,0.294921875,0.294921875,0.732620320855615,0.7231065177672725,6,2,5,2,271
0.0,1208,1208,0.294921875,0.294921875,0.746515238972079,0.7231065177672725,4,2,5,2,272
