delta,correct_pad,correct_amatch,auroc_pad,auroc_amatch,delta_vs_p_only,pad_w0,pad_w1,pad_w2,pad_w3,pad_w4,pad_w5,pad_w6,pad_l0,pad_l1,pad_l2,pad_l3,pad_l4,am_w0,am_w1,am_w2,am_w3,am_w4,am_w5,am_w6,am_l0,am_l1,am_l2,am_l3,am_l4,min_train_pairs,mean_train_pairs,r,kind
1.0,614,613,0.9748031057285089,0.9757132773608738,17.0,0,0,1,4,0,0,0,0,0,1,3,1,0,0,0,3,0,0,2,0,0,0,3,2,498,525.6,104,null
-3.0,605,608,0.9688219778586818,0.9708187829705031,8.0,0,0,0,4,0,1,0,0,0,0,3,2,0,0,0,2,0,3,0,0,0,0,4,1,498,525.6,106,null
0.0,607,607,0.9742365703246897,0.9739765212868713,10.0,0,0,0,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,4,0,0,1,0,4,498,525.6,107,null
-1.0,611,612,0.9663979493275875,0.9737443346459618,14.0,0,0,0,1,0,3,1,0,0,2,3,0,0,0,0,1,0,4,0,0,0,0,5,0,498,525.6,108,null
-2.0,604,606,0.9652277286574039,0.9661286128241324,7.0,0,0,1,1,0,1,2,0,0,0,1,4,0,0,0,3,0,0,2,0,0,0,1,4,498,525.6,109,null
-3.0,602,605,0.9653577531763132,0.9750724422319638,5.0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,0,3,0,0,2,0,0,1,1,3,498,525.6,111,null
-1.0,608,609,0.9713481685117764,0.9748216806597816,11.0,0,0,0,4,0,0,1,0,0,0,2,3,0,0,0,2,0,1,2,0,0,0,3,2,498,525.6,110,null
-11.0,606,617,0.9773385838472397,0.9766048740619659,9.0,0,0,1,1,0,2,1,0,0,1,3,1,0,0,0,0,0,5,0,0,0,0,5,0,498,525.6,112,null
0.0,607,607,0.9632773608737647,0.9650512668103127,10.0,0,0,3,1,0,1,0,0,0,1,0,4,0,0,1,1,0,1,2,0,0,0,2,3,498,525.6,113,null
-3.0,604,607,0.974069395943235,0.9760940634519651,7.0,0,0,0,1,1,1,2,0,0,0,1,4,0,0,2,1,0,1,1,0,0,0,1,4,498,525.6,114,null
-4.0,598,602,0.9683018797830448,0.9705865963295935,1.0,0,0,2,0,1,2,0,0,0,0,2,3,0,0,3,0,0,2,0,0,0,0,3,2,498,525.6,115,null
-2.0,605,607,0.9715710676870495,0.9777193699383312,8.0,0,0,0,2,0,1,2,0,0,0,1,4,0,0,0,1,0,2,2,0,0,0,2,3,498,525.6,116,null
0.0,612,612,0.9744780444312356,0.9743851697748719,15.0,0,0,0,4,0,0,1,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0,5,498,525.6,118,null
-1.0,610,611,0.9681811427297718,0.9714874804963222,13.0,0,0,1,3,0,0,1,0,0,0,1,4,0,0,0,3,0,1,1,0,0,0,2,3,498,525.6,117,null
0.0,618,618,0.9675403076008621,0.970893082695594,21.0,0,0,0,3,0,1,1,0,0,0,2,3,0,0,0,3,0,2,0,0,0,0,2,3,498,525.6,119,null
0.0,609,609,0.9723883646630508,0.9724162270599599,12.0,0,0,0,4,0,0,1,0,0,1,0,4,0,0,0,4,0,0,1,0,0,1,0,4,498,525.6,120,null
-1.0,613,614,0.977914406716695,0.9780722936325136,16.0,0,0,1,0,0,1,3,0,0,1,1,3,0,0,0,1,0,1,3,0,0,0,2,3,498,525.6,121,null
-2.0,609,611,0.9721283156252322,0.9723883646630507,12.0,0,0,0,4,0,0,1,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0,5,498,525.6,122,null
-1.0,605,606,0.9743573073779628,0.9783416301359684,8.0,0,0,0,4,0,1,0,0,0,1,0,4,0,0,0,3,0,2,0,0,0,0,2,3,498,525.6,123,null
