a,b,fold,target,P_score,covered,n_records,single_a,single_b,z,sd,p,reported_epsilon,epsilon,raw_mask,centered_mask,centered_retain,mask_layout_agreement,retain_layout_agreement,score_inconsistency,single_fitness_missing,pair
GPH1,SNF5,0,-1,-5.827629882123692,True,1.0,1.014,0.2545,0.2916,0.0658,0.3237,0.0335,0.03353700000000004,0.6852999999999999,-0.06707400000000019,-0.2189380240903665,1.0,1.0,False,False,GPH1|SNF5
GPH1,STP2,0,-1,-5.696910398362714,True,2.0,1.014,1.0357,1.06285,0.0134,0.12146,0.01265,0.012650199999999834,0.021700000000000053,0.0,0.05395756984772443,0.0,0.0,False,False,GPH1|STP2
GPH1,SWI3,0,-1,-7.672882874758781,True,1.0,1.014,0.2695,0.2705,0.0352,0.4649,-0.0028,-0.0027730000000000254,0.7425,0.005546000000000162,0.018178180685481965,1.0,1.0,False,False,GPH1|SWI3
GPH1,SWI6,0,-1,-6.738930124263278,True,1.0,1.014,0.403,0.122,0.0229,1.241e-23,-0.2866,-0.286642,0.611,0.01128399999999985,1.9652899634395653,1.0,1.0,False,False,GPH1|SWI6
GPH1,UBR2,0,-1,-5.710304195092227,True,2.0,1.014,0.91,0.94195,0.0271,0.25122,0.019200000000000002,0.01920999999999995,0.040100000000000136,-0.0384199999999999,-0.26285896646324325,0.0,0.0,False,False,GPH1|UBR2
GPH1,YDR306C,0,-1,-6.236964268269281,True,2.0,1.014,1.0095,1.03045,0.0292,0.43365,0.0068000000000000005,0.006816999999999962,-0.0044999999999999485,0.0,-0.01039782480066036,0.0,1.0,False,False,GPH1|YDR306C
GPH1,YKU80,0,-1,-7.853024044116124,True,1.0,1.014,1.0132,0.9505,0.1,0.2,-0.0769,-0.07688480000000009,0.0007999999999999119,0.0015999999999998238,0.01975143807018119,1.0,1.0,False,False,GPH1|YKU80
GTR1,OPI3,0,1,3.4315930532101366,True,1.0,0.8087,0.412,0.299,0.0331,0.1578,-0.0342,-0.034184400000000004,0.39670000000000005,5.551115123125783e-17,-0.10954907807932991,1.0,1.0,False,False,GTR1|OPI3
GTR1,PHO23,0,-1,-2.862326447652824,True,2.0,0.8087,0.8772,0.81105,0.0517,0.190950000000002,0.10165,0.10165836,0.0,0.0685,-0.21268469556662653,0.5,1.0,False,False,GTR1|PHO23
HAP4,INO4,0,-1,-3.921737586966751,True,2.0,0.8635,0.6017,0.5473,0.4041,0.3942,0.02775,0.027732050000000008,0.26180000000000003,0.0,0.11058438632913734,0.0,1.0,False,False,HAP4|INO4
HAP4,IPK1,0,-1,-3.897780686776659,True,2.0,0.8635,0.837,0.6812,0.0442,0.251315,-0.041600000000000005,-0.04154950000000002,0.02650000000000008,0.0,-0.0353990778799711,0.0,1.0,False,False,HAP4|IPK1
HAP4,IRE1,0,-1,-5.638884721025919,True,2.0,0.8635,0.9783,0.8626,0.0733,0.37515,0.0178,0.017837949999999936,-0.1139,0.0008999999999999009,-0.0150710493904522,0.5,1.0,False,False,HAP4|IRE1
HAP4,KSP1,0,-1,-4.145045043557246,True,2.0,0.8635,0.9807,0.73465,0.0964,0.13976000000000002,-0.11224999999999999,-0.11218444999999999,-0.11719999999999997,0.0,0.029121706195224237,0.0,1.0,False,False,HAP4|KSP1
HAP4,SGS1,0,-1,-4.2227795672426165,True,2.0,0.8635,0.8638,0.75815,0.0273,0.339,0.01225,0.012258699999999956,-0.00029999999999996696,0.0,-0.00013303009020349755,0.0,1.0,False,False,HAP4|SGS1
HAP4,SNF5,0,-1,-4.262985688681688,True,2.0,0.8635,0.2545,0.22225,0.0359,0.138975,0.002449999999999999,0.0024892499999999845,0.6090000000000001,0.0,0.012754784808155006,0.0,0.0,False,False,HAP4|SNF5
HAP4,SWI3,0,-1,-6.1847536724339385,True,1.0,0.8635,0.2695,0.2582,0.0124,0.05844,0.0255,0.025486749999999947,0.5940000000000001,1.1102230246251565e-16,0.1299003480155445,1.0,1.0,False,False,HAP4|SWI3
HAP4,SWI6,0,-1,-5.235077496011716,True,1.0,0.8635,0.403,0.329,0.0495,0.3958,-0.019,-0.01899050000000002,0.46049999999999996,-1.1102230246251565e-16,-0.09107743855696564,1.0,1.0,False,False,HAP4|SWI6
HAP5,NAM7,0,-1,-1.2621542634079712,True,2.0,0.8255,0.9925,0.7983,0.0222,0.240775,-0.021,-0.02100875000000002,-0.16700000000000004,0.0,-0.049620091239647904,0.0,1.0,False,False,HAP5|NAM7
HAP5,SWI6,0,-1,-0.3793135757125966,True,1.0,0.8255,0.403,0.3414,0.0777,0.4657,0.0087,0.00872349999999994,0.4225,0.0,0.031688012737111027,0.0,1.0,False,False,HAP5|SWI6
HOS4,PUS9,0,-1,1.7891713995636795,True,1.0,0.96,1.0005,0.9759,0.0518,0.411,0.0154,0.0154200000000001,-0.00869999999999993,0.0308400000000002,0.1535227160210815,1.0,1.0,False,False,HOS4|PUS9
INO4,NAM7,0,-1,-2.0563980660724903,True,2.0,0.6017,0.9925,0.6077,0.0435,0.353,0.010499999999999999,0.01051274999999996,-0.36760000000000004,0.0232,-0.004859686638170371,0.5,0.0,False,False,INO4|NAM7
INO4,OPI3,0,1,4.088291672102737,True,1.0,0.6017,0.412,0.1702,0.0885,0.1354,-0.0777,-0.0777004,0.1897,0.0,-0.060858686973787934,0.0,1.0,False,False,INO4|OPI3
INO4,RAS2,0,1,1.4588660020769753,True,2.0,0.6017,1.0085,0.6372,0.4693,0.38965000000000005,0.0304,0.030385549999999983,-0.3358,0.06077109999999997,0.1755136005205172,1.0,1.0,False,False,INO4|RAS2
INO4,RPN4,0,1,2.101284547489809,True,2.0,0.6017,0.7663,0.31955,0.1988,0.2136500000875,-0.14155,-0.14153271,-0.16459999999999997,0.0,0.22927958493213507,0.0,1.0,False,False,INO4|RPN4
INO4,SAM4,0,1,1.3150624332473244,True,1.0,0.6017,1.004,0.6075,0.1964,0.4927,0.0034,0.003393199999999985,-0.39069999999999994,0.00678639999999997,0.013781632707166556,1.0,1.0,False,False,INO4|SAM4
INO4,STP3,0,1,0.9043194902347343,True,2.0,0.6017,0.9872,0.6169,0.6444,0.3103,0.0229,0.022901759999999993,-0.3104,0.07509999999999994,-0.05343837236497749,0.5,0.0,False,False,INO4|STP3
INO4,YVH1,0,1,1.761467680619559,True,1.0,0.6017,1.013,0.6274,0.2235,0.4649,0.0179,0.017877900000000002,-0.3599,0.035755800000000004,0.13126772019426947,1.0,1.0,False,False,INO4|YVH1
IPK1,PHO23,0,-1,-2.3417757209096948,True,2.0,0.837,0.8772,0.6176999999999999,0.0631,0.0997425,-0.11649999999999999,-0.11651640000000002,-0.040200000000000014,0.0,0.16055097782372638,0.0,1.0,False,False,IPK1|PHO23
IPK1,SAM4,0,1,1.2147134426093669,True,2.0,0.837,1.004,0.80945,0.0292,0.140735,-0.0309,-0.03089799999999998,-0.16700000000000004,-0.006696000000000035,-0.2223782560883453,1.0,1.0,False,False,IPK1|SAM4
JHD2,YOR338W,0,1,1.7101646486222597,True,1.0,1.0122,0.9912,0.9851,0.0214,0.2799,-0.0182,-0.018192639999999982,0.02100000000000002,0.024185279999999976,0.14590552205138999,1.0,1.0,False,False,JHD2|YOR338W
KKQ8,NAM7,0,-1,-0.9488283990806964,True,2.0,1.0112,0.9925,0.9819,0.0368,0.2977,-0.02175,-0.021716000000000013,0.01870000000000005,0.02223200000000003,0.15635383063233424,1.0,1.0,False,False,KKQ8|NAM7
KSP1,OPI3,0,-1,4.238688372403296,True,1.0,0.9807,0.412,0.4092,0.0203,0.41,0.0052,0.005151600000000034,0.5687,0.0,0.0259148047951223,0.0,1.0,False,False,KSP1|OPI3
KSP1,YOR338W,0,1,3.46185585833446,True,2.0,0.9807,0.9912,1.02205,0.0812,0.19354,0.05005,0.049980159999999996,0.010499999999999954,0.020999999999999908,0.16516787994869686,1.0,1.0,False,False,KSP1|YOR338W
KTI12,RPN13,0,-1,-0.8035087503040386,True,1.0,0.838,1.0317,0.8755,0.0439,0.4162,0.0109,0.010935399999999929,-0.11870000000000014,0.021870799999999857,0.1605367591310095,1.0,1.0,False,False,KTI12|RPN13
MSH1,YOR338W,0,1,2.914060765295148,True,1.0,1.0235,0.9912,1.0077,0.0454,0.4465,-0.0068,-0.006793199999999944,-0.0007000000000000339,0.013586399999999887,0.07549608386852562,1.0,1.0,False,False,MSH1|YOR338W
NAM7,NPR2,0,1,1.641800549977432,True,1.0,0.9925,,0.9505,0.0178,0.04846,-0.042,,0.0,0.0,0.0,0.0,0.0,False,True,NAM7|NPR2
NAM7,OPI3,0,-1,6.090952042401231,True,1.0,0.9925,0.412,0.3604,0.0157,0.009544,-0.0485,-0.04851,0.5805000000000001,1.1102230246251565e-16,-0.06041988551488792,1.0,1.0,False,False,NAM7|OPI3
NAM7,REV3,0,1,1.3159178644994594,True,2.0,0.9925,0.9985,1.0044499999999998,0.0282,0.35455,0.01345,0.013438749999999833,0.006000000000000005,0.01200000000000001,0.031373095754163194,1.0,1.0,False,False,NAM7|REV3
NUP133,RPN4,0,1,3.151530401213136,True,2.0,0.8825,0.7663,0.84605,0.1,0.0076228065,0.16975,0.1697902500000001,-0.043300000000000116,-0.1595000000000001,0.5287490288517964,1.0,1.0,False,False,NUP133|RPN4
NUP133,UBP6,0,1,2.1369398924767484,True,2.0,0.8825,0.7638,0.7378,0.1262,0.10388,0.0638,0.06374650000000004,0.03859999999999997,-0.08009999999999995,0.20103756311467497,0.5,0.0,False,False,NUP133|UBP6
