task,shuffle,F_AUROC,d_AUROC,known_correct,delta_F,delta_d,delta_known
V,46,0.7236799481697441,0.7421444768383544,17,-0.11467444120505343,-0.0877874959507613,-4
V,47,0.6520894071914479,0.7871720116618075,18,-0.18626498218334964,-0.04275996112730818,-3
V,48,0.6750890832523486,0.7178490443796566,18,-0.16326530612244894,-0.1120829284094591,-3
V,49,0.6316812439261419,0.5979915775834143,14,-0.20667314544865567,-0.23194039520570142,-7
V,50,0.7178490443796566,0.6838354389374798,14,-0.12050534499514098,-0.1460965338516359,-7
V,51,0.6608357628765792,0.6631033365727244,14,-0.17751862649821837,-0.16682863621639132,-7
V,52,0.7910592808551992,0.785552316164561,16,-0.047295108519598394,-0.044379656624554675,-5
V,53,0.605118237771299,0.6352445740200843,17,-0.23323615160349853,-0.1946873987690314,-4
V,54,0.7052154195011339,0.6015549076773566,15,-0.1331389698736637,-0.22837706511175904,-6
V,55,0.7470035633300939,0.685131195335277,15,-0.09135082604470368,-0.14480077745383868,-6
V,56,0.5743440233236151,0.750242954324587,19,-0.26401036605118244,-0.0796890184645287,-2
V,57,0.7975380628441853,0.705539358600583,19,-0.04081632653061229,-0.12439261418853265,-2
V,58,0.6559766763848397,0.756721736313573,19,-0.18237771298995786,-0.0732102364755427,-2
V,59,0.6867508908325235,0.6235827664399093,15,-0.15160349854227406,-0.2063492063492064,-6
V,60,0.612568837058633,0.5620343375445416,10,-0.2257855523161646,-0.2678976352445741,-11
V,61,0.7563977972141238,0.6929057337220602,15,-0.08195659216067375,-0.13702623906705547,-6
V,62,0.6384839650145773,0.6401036605118238,13,-0.1998704243602203,-0.1898283122772919,-8
V,63,0.685131195335277,0.7058632977000324,17,-0.15322319403952056,-0.12406867508908326,-4
V,64,0.6504697116942015,0.60932944606414,13,-0.18788467768059602,-0.2206025267249757,-8
V,65,0.6592160673793326,0.6731454486556527,13,-0.17913832199546498,-0.15678652413346295,-8
V,66,0.6154842889536767,0.5801749271137026,14,-0.22287010042112088,-0.24975704567541313,-7
V,67,0.5785552316164561,0.5856818918043407,13,-0.2597991577583415,-0.24425008098477496,-8
V,68,0.6472303206997084,0.5487528344671202,13,-0.19112406867508913,-0.2811791383219955,-8
V,69,0.6242306446388078,0.5610625202461936,12,-0.21412374473598972,-0.26886945254292205,-9
V,70,0.6660187884677681,0.6961451247165532,15,-0.17233560090702948,-0.13378684807256247,-6
V,71,0.747003563330094,0.7188208616780045,18,-0.09135082604470357,-0.11111111111111116,-3
V,72,0.5558794946550047,0.6462585034013606,14,-0.2824748947197928,-0.18367346938775508,-7
V,73,0.591188856494979,0.6692581794622611,16,-0.24716553287981857,-0.1606737933268546,-5
V,74,0.5341755749919015,0.6044703595724004,14,-0.30417881438289607,-0.22546161321671532,-7
V,75,0.6812439261418852,0.6284418529316489,12,-0.15711046323291233,-0.2014901198574668,-9
V,76,0.5996112730806609,0.627470035633301,12,-0.2387431162941367,-0.20246193715581473,-9
V,77,0.7700032393909945,0.7777777777777778,19,-0.0683511499838031,-0.05215419501133789,-2
V,78,0.7551020408163265,0.7570456754130224,15,-0.08325234855847108,-0.07288629737609331,-6
V,79,0.7252996436669906,0.7333981211532232,16,-0.11305474570780694,-0.09653385163589245,-5
V,80,0.6284418529316489,0.6783284742468416,16,-0.20991253644314867,-0.15160349854227406,-5
V,81,0.6537091026886944,0.6245545837382571,13,-0.18464528668610314,-0.20537738905085856,-8
V,82,0.7298347910592808,0.694849368318756,16,-0.10851959831551672,-0.1350826044703597,-5
V,83,0.6721736313573048,0.6689342403628118,17,-0.16618075801749277,-0.16099773242630389,-4
V,84,0.7583414318108194,0.67444120505345,15,-0.0800129575639782,-0.15549076773566572,-6
V,85,0.8127632005183024,0.7968901846452867,19,-0.02559118885649514,-0.033041788143828965,-2
V,86,0.6469063816002592,0.6773566569484937,15,-0.1914480077745384,-0.152575315840622,-6
V,87,0.6673145448655653,0.7570456754130224,18,-0.17103984450923226,-0.07288629737609331,-3
V,88,0.7087787495950761,0.7411726595400066,18,-0.12957563977972142,-0.08875931324910913,-3
V,89,0.624230644638808,0.5532879818594105,13,-0.2141237447359896,-0.27664399092970515,-8
V,90,0.6724975704567541,0.6394557823129252,14,-0.1658568189180435,-0.19047619047619047,-7
V,91,0.6384839650145773,0.6456106252024618,15,-0.1998704243602203,-0.18432134758665386,-6
V,92,0.6958211856171039,0.7061872367994818,14,-0.14253320375769363,-0.12374473598963387,-7
V,93,0.8247489471979268,0.7625526401036605,16,-0.013605442176870763,-0.06737933268545515,-5
V,94,0.7249757045675412,0.6770327178490443,15,-0.11337868480725632,-0.1528992549400714,-6
V,95,0.7269193391642371,0.5856818918043407,13,-0.11143505021056044,-0.24425008098477496,-8
V,96,0.7813411078717202,0.6543569808875931,14,-0.057013281503077384,-0.1755749919015226,-7
V,97,0.7298347910592808,0.5587949465500486,15,-0.10851959831551672,-0.2711370262390671,-6
V,98,0.6112730806608357,0.5338516358924522,12,-0.22708130871396182,-0.29608033689666347,-9
V,99,0.6618075801749271,0.565597667638484,13,-0.17654680919987042,-0.2643343051506317,-8
