panel,a,b,label,unordered_pair,single_a,single_b,double,expected_no_interaction,n_measurements,double_observed,red_released,red_reverse,red_exchange_error,red_point_distance,raw_mask,single_only,P_score,P_available,P_feature_log_variance,P_feature_skew,P_feature_kurtosis,P_feature_log_witness_count,P_feature_nonlinear,pair
KEGG,OST5,ROT2,0,OST5|ROT2,0.9866410867911652,0.6904081231682184,2.3029969999999995,1.6475355764452986,2,True,0.4620369320166076,0.5352593566862967,0.0027037112970957,0.4497933746343481,-0.2962329636229468,0.2962329636229468,1.5710672074587853,True,-0.9549353792555676,-0.707997244348589,1.0427201654367195,-0.916290731874155,0.1542793601457907,OST5|ROT2
KEGG,DIE2,ROT2,0,DIE2|ROT2,1.323400595972287,0.6904081231682184,2.5114434999999995,1.968871982747808,2,True,0.4056966701785631,0.5789080809435546,0.0153952488778823,0.390297081685689,-0.6329924728040686,0.6329924728040686,2.1073033822547367,True,-0.7501177596622761,0.1266512327647491,-2.058643455482307,-1.6094379124341005,0.2438956102150678,DIE2|ROT2
KEGG,ALG5,ROT2,0,ALG5|ROT2,1.7317384406664271,0.6904081231682184,1.86326,2.3533009026674154,2,True,0.3472755036600101,0.5450224238854605,0.1077020724545294,0.3227148798745304,-1.0413303174982087,1.0413303174982087,-0.1380690297329408,True,-0.3841163375796781,-1.2873096686646512,1.808972445246246,0.4700036292457354,0.5287546519093314,ALG5|ROT2
KEGG,ALG8,ROT2,0,ALG8|ROT2,2.074264339602236,0.6904081231682184,2.1602235,2.6702776748049524,2,True,0.3101453091888442,0.4753832433246176,0.2144714474865381,0.2754714669591131,-1.3838562164340171,1.3838562164340171,0.5229747499618882,True,-0.3970057062224366,-0.5391678996745719,-0.2131727603559756,-0.2231435513142097,0.2221596185821032,ALG8|ROT2
KEGG,ALG12,ROT2,0,ALG12|ROT2,2.1390069455361376,0.6904081231682184,2.3196575,2.7295308995648746,2,True,0.2859198553945369,0.4737758795254165,0.2403042650800465,0.2584631888706675,-1.4485988223679191,1.4485988223679191,0.3090077405390123,True,-0.1984409749032494,0.3619320834473082,-0.2522404043598634,-0.2231435513142097,-0.2333953359122507,ALG12|ROT2
KEGG,ALG9,ROT2,0,ALG9|ROT2,2.1575587937777736,0.6904081231682184,2.3607175,2.746467813189391,2,True,0.2892355138049383,0.4660482678256182,0.2447162183694433,0.258668100028795,-1.4671506706095552,1.4671506706095552,0.1824477814314581,True,-0.323169049788667,-0.2594657619783787,3.621625679692951,0.0,-0.1174754915103919,ALG9|ROT2
KEGG,ALG6,ROT2,0,ALG6|ROT2,2.5299364083909355,0.6904081231682184,2.608419999999999,3.082116274810721,2,True,0.2389483144073662,0.3930704675286173,0.3679812180640164,0.2077224232441451,-1.839528285222717,1.839528285222717,0.7919464677556595,True,-0.5684295475437984,0.4394491914141404,2.2521077716095226,-0.5108256237659907,0.0835636101115332,ALG6|ROT2
KEGG,ALG3,ROT2,0,ALG3|ROT2,2.822871835124776,0.6904081231682184,3.067281,3.339601681410365,2,True,0.1866363769651316,0.34655872849948,0.4668048945353884,0.1635811788264827,-2.1324637119565573,2.1324637119565573,-0.8115851538707034,True,0.180782688026702,-0.4843481214151437,4.713856382767897,0.6931471805599456,0.4835371896786964,ALG3|ROT2
KEGG,OST3,ROT2,0,OST3|ROT2,2.995646963775065,0.6904081231682184,3.3511626145976106,3.4883338872589698,1,True,0.1846746888827699,0.3024781384073205,0.5128471727099095,0.1557753781707107,-2.3052388406068465,2.3052388406068465,2.109109969240184,True,-0.8207044150184859,0.3688100316083754,-0.6022802095325357,-1.6094379124341005,0.2625987204473157,OST3|ROT2
KEGG,DOA4,VPS28,0,DOA4|VPS28,0.5679589779112229,0.7089474274544649,,1.2618321798355578,0,False,0.5257411838464415,0.4729308686029032,0.0013279475506553,0.523184424502718,0.0,-0.140988449543242,-1.9839671397163576,True,0.2171054158437044,1.5966905096383854,2.3165204030296165,1.6094379124341005,-0.3838163073721791,DOA4|VPS28
