scenario,seed,level,family,errors,error_rate,n,correct,accuracy,auroc,average_precision,squared_loss,certification_M,risk_upper,additive_error_lower,classification_certified,B1_integer_rule,auc_lower,auc_correction,auc_certified
B2,29,noise1,full_P_RBF,642,0.15673828125,4096,3454,0.84326171875,0.8750469411758814,0.8354194285257426,0.7598660151591072,,,,,,,,
B2,29,noise2,joint,676,0.1650390625,4096,3420,0.8349609375,0.8721913825951969,0.8381976081991803,0.85317604093886,30.0,0.19445823813413698,0.062053269747480905,False,,0.8133528559741877,0.05883852662100916,False
B2,29,noise2,A_match,676,0.1650390625,4096,3420,0.8349609375,0.8733651242561594,0.8353183461617004,0.8464886512175577,,,,,,,,
B2,29,noise2,A_rbf,669,0.163330078125,4096,3427,0.836669921875,0.8761520156384447,0.8383766135550197,0.8113866476992401,,,,,,,,
B2,29,noise2,full_P_RBF,663,0.161865234375,4096,3433,0.838134765625,0.8789234097207171,0.841480003214511,0.7554434869784257,,,,,,,,
B2,43,ideal,joint,686,0.16748046875,4096,3410,0.83251953125,0.8725252493888436,0.8406103605851041,0.7651465139818243,30.0,0.19689964438413698,0.062053269747480905,False,,0.8136337366018885,0.05889151278695502,False
B2,43,ideal,A_match,686,0.16748046875,4096,3410,0.83251953125,0.8678294661591908,0.8339754927898856,0.8541929464901757,,,,,,,,
B2,43,ideal,A_rbf,686,0.16748046875,4096,3410,0.83251953125,0.8726181618850966,0.8392408891290133,0.7648499612139212,,,,,,,,
B2,43,ideal,full_P_RBF,686,0.16748046875,4096,3410,0.83251953125,0.8726181618850966,0.8392408891290133,0.7648499612139212,,,,,,,,
B2,43,noise1,joint,662,0.16162109375,4096,3434,0.83837890625,0.8664809982959193,0.8047766326212199,0.9644791228350316,30.0,0.19104026938413698,0.062053269747480905,False,,0.8076243949212264,0.05885660337469292,False
B2,43,noise1,A_match,631,0.154052734375,4096,3465,0.845947265625,0.9012601799316412,0.883977838661849,0.6219920334884844,,,,,,,,
B2,43,noise1,A_rbf,654,0.15966796875,4096,3442,0.84033203125,0.8811788430621157,0.8314969956110643,0.7587551161273378,,,,,,,,
B2,43,noise1,full_P_RBF,654,0.15966796875,4096,3442,0.84033203125,0.8811788430621157,0.8314969956110643,0.7587551161273378,,,,,,,,
B2,43,noise2,joint,655,0.159912109375,4096,3441,0.840087890625,0.8630809661691998,0.8165830238719265,0.9828559041387641,30.0,0.18933128500913698,0.062053269747480905,False,,0.8042408192147439,0.058840146954455934,False
B2,43,noise2,A_match,651,0.158935546875,4096,3445,0.841064453125,0.873870303821034,0.8295566311650775,0.919928101532415,,,,,,,,
B2,43,noise2,A_rbf,656,0.16015625,4096,3440,0.83984375,0.8652800349447598,0.8206655830496014,0.9703907889065401,,,,,,,,
B2,43,noise2,full_P_RBF,653,0.159423828125,4096,3443,0.840576171875,0.8666145451840321,0.82189680253197,0.9648704449450081,,,,,,,,
B3,17,ideal,joint,353,0.086181640625,4096,3743,0.913818359375,0.9735354250638094,0.9741180657423754,0.2725033591157387,30.0,0.11560081625913697,0.062053269747480905,False,,0.9146958883805216,0.058839536683287744,False
B3,17,ideal,A_match,661,0.161376953125,4096,3435,0.838623046875,0.862115311023608,0.8171104024336739,0.9106245843389611,,,,,,,,
B3,17,ideal,A_rbf,633,0.154541015625,4096,3463,0.845458984375,0.877617434822675,0.8324746982081457,0.753426011693521,,,,,,,,
B3,17,ideal,full_P_RBF,633,0.154541015625,4096,3463,0.845458984375,0.877617434822675,0.8324746982081457,0.753426011693521,,,,,,,,
B3,29,ideal,joint,391,0.095458984375,4096,3705,0.904541015625,0.9719352454521613,0.9727513409792161,0.2839189360336124,30.0,0.12487816000913697,0.062053269747480905,False,,0.913096866127555,0.05883837932460623,False
B3,29,ideal,A_match,649,0.158447265625,4096,3447,0.841552734375,0.8973731015902534,0.8750555598533131,0.5413821181612706,,,,,,,,
B3,29,ideal,A_rbf,686,0.16748046875,4096,3410,0.83251953125,0.8596984002098085,0.8233436257485075,0.8871657249719329,,,,,,,,
B3,29,ideal,full_P_RBF,649,0.158447265625,4096,3447,0.841552734375,0.876031995803829,0.8375635505069764,0.7558701563791328,,,,,,,,
